Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type,Month_Year
PX448737.1,GenBank,GCA_053037805.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16339,2,"Influenza A virus (A/Texas/USAFSAM-16339/2025(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence",2274,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-),05.2025
PX448738.1,GenBank,GCA_053037805.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16339,1,"Influenza A virus (A/Texas/USAFSAM-16339/2025(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",2280,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Macias,E.A., Garcia,J.M., Smetana,C.A., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-05-19,2025-10-07,ssRNA(-),05.2025
PX214112.1,GenBank,GCA_052217305.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16220,4,"Influenza A virus (A/Texas/USAFSAM-16220/2024(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1701,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2024-11-25,2025-08-22,ssRNA(-),11.2024
PX214113.1,GenBank,GCA_052217305.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16220,7,"Influenza A virus (A/Texas/USAFSAM-16220/2024(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",982,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2024-11-25,2025-08-22,ssRNA(-),11.2024
PX214114.1,GenBank,GCA_052217305.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16220,6,"Influenza A virus (A/Texas/USAFSAM-16220/2024(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",1410,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2024-11-25,2025-08-22,ssRNA(-),11.2024
PX214115.1,GenBank,GCA_052217305.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16220,5,"Influenza A virus (A/Texas/USAFSAM-16220/2024(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",1497,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2024-11-25,2025-08-22,ssRNA(-),11.2024
PX214116.1,GenBank,GCA_052217305.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16220,8,"Influenza A virus (A/Texas/USAFSAM-16220/2024(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",838,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2024-11-25,2025-08-22,ssRNA(-),11.2024
PX214117.1,GenBank,GCA_052217305.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16220,3,"Influenza A virus (A/Texas/USAFSAM-16220/2024(H1N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",2151,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2024-11-25,2025-08-22,ssRNA(-),11.2024
PX214118.1,GenBank,GCA_052217305.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16220,2,"Influenza A virus (A/Texas/USAFSAM-16220/2024(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence",2274,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2024-11-25,2025-08-22,ssRNA(-),11.2024
PX214119.1,GenBank,GCA_052217305.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16220,1,"Influenza A virus (A/Texas/USAFSAM-16220/2024(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",2280,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2024-11-25,2025-08-22,ssRNA(-),11.2024
PX208450.1,GenBank,GCA_052215845.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16273,4,"Influenza A virus (A/Texas/USAFSAM-16273/2025(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1701,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
PX208451.1,GenBank,GCA_052215845.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16273,7,"Influenza A virus (A/Texas/USAFSAM-16273/2025(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",982,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
PX208452.1,GenBank,GCA_052215845.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16273,6,"Influenza A virus (A/Texas/USAFSAM-16273/2025(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",1410,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
PX208453.1,GenBank,GCA_052215845.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16273,5,"Influenza A virus (A/Texas/USAFSAM-16273/2025(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",1497,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
PX208454.1,GenBank,GCA_052215845.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16273,8,"Influenza A virus (A/Texas/USAFSAM-16273/2025(H1N1)) segment 8 nuclear export protein (NEP) and nonstructural protein 1 (NS1) genes, complete cds",838,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
PX208455.1,GenBank,GCA_052215845.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16273,3,"Influenza A virus (A/Texas/USAFSAM-16273/2025(H1N1)) segment 3 polymerase PA (PA) and PA-X protein (PA-X) genes, complete cds",2151,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
PX208456.1,GenBank,GCA_052215845.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16273,2,"Influenza A virus (A/Texas/USAFSAM-16273/2025(H1N1)) segment 2 polymerase PB1 (PB1) gene, complete cds; and nonfunctional PB1-F2 protein (PB1-F2) gene, complete sequence",2274,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
PX208457.1,GenBank,GCA_052215845.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16273,1,"Influenza A virus (A/Texas/USAFSAM-16273/2025(H1N1)) segment 1 polymerase PB2 (PB2) gene, complete cds",2280,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
PX208458.1,GenBank,GCA_052215855.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16274,4,"Influenza A virus (A/Texas/USAFSAM-16274/2025(H1N1)) segment 4 hemagglutinin (HA) gene, complete cds",1701,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
PX208459.1,GenBank,GCA_052215855.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16274,7,"Influenza A virus (A/Texas/USAFSAM-16274/2025(H1N1)) segment 7 matrix protein 2 (M2) and matrix protein 1 (M1) genes, complete cds",982,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
PX208460.1,GenBank,GCA_052215855.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16274,6,"Influenza A virus (A/Texas/USAFSAM-16274/2025(H1N1)) segment 6 neuraminidase (NA) gene, complete cds",1410,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
PX208461.1,GenBank,GCA_052215855.1,,,,Influenza A virus,Alphainfluenzavirus influenzae,Alphainfluenzavirus,Orthomyxoviridae,H1N1,USAFSAM-16274,5,"Influenza A virus (A/Texas/USAFSAM-16274/2025(H1N1)) segment 5 nucleocapsid protein (NP) gene, complete cds",1497,partial,USA: Texas,USA,TX,Homo sapiens,oronasopharynx,"Gruner,W.E., Hogan,V.S., Muehleman,D.M., Fries,A.C., Hanson,J.F., Kramer,D.L., Demarcus,L.S., Wasik,P.M., Robbins,A.S., Macias,E.A., Garcia,J.M., Renkas,M.C., Hartless,T.R.","United States Air Force School of Aerospace Medicine Public Health Submission Group, 711th Human Performance Wing",USA,,2025-04-16,2025-08-21,ssRNA(-),04.2025
